Rank,Name,Seconds added,Label
1,Dustin Brown,-6.37,player
2,Rohan Bopanna,-4.95,player
3,Chris Guccione,-4.63,player
4,Benoit Paire,-4.56,player
5,Lukas Dlouhy,-4.35,player
6,Brendan Evans,-4.25,player
7,Igor Sijsling,-4.19,player
8,Lukas Rosol,-4.13,player
9,Alexander Kudryavtsev,-4.05,player
10,Sam Querrey,-3.99,player
11,Carsten Ball,-3.99,player
12,Kristian Pless,-3.95,player
13,Alexandr Dolgopolov,-3.73,player
14,Peter Wessels,-3.61,player
15,Robert Kendrick,-3.57,player
16,Daniel Brands,-3.54,player
17,Bernard Tomic,-3.54,player
18,Zack Fleishman,-3.48,player
19,Ivo Minar,-3.38,player
20,James Blake,-3.36,player
21,Eric Prodon,-3.18,player
22,Goran Ivanisevic,-3.15,player
23,Florian Mayer,-3.15,player
24,Nick Kyrgios,-3.15,player
25,Samuel Groth,-2.84,player
26,Todd Reid,-2.84,player
27,Stephane Robert,-2.82,player
28,Juan Balcells,-2.8,player
29,Andrei Olhovskiy,-2.78,player
30,Alberto Berasategui,-2.77,player
31,Robby Ginepri,-2.73,player
32,Wayne Arthurs,-2.72,player
33,Frank Dancevic,-2.54,player
34,Kevin Kim,-2.53,player
35,Jan Hajek,-2.45,player
36,Roger Federer,-2.43,player
37,Taylor Dent,-2.43,player
38,Andrey Kuznetsov,-2.4,player
39,Jeff Morrison,-2.39,player
40,John Isner,-2.33,player
41,Marc Kevin Goellner,-2.31,player
42,Ricardas Berankis,-2.3,player
43,Michael Llodra,-2.27,player
44,Florent Serra,-2.25,player
45,Jiri Novak,-2.24,player
46,Andres Gomez,-2.21,player
47,Matthias Bachinger,-2.16,player
48,Ivo Karlovic,-2.12,player
49,Gary Muller,-2.09,player
50,Amer Delic,-2.09,player
51,Magnus Larsson,-2.08,player
52,Michal Tabara,-2.01,player
53,Nicolas Almagro,-2.01,player
54,Robin Haase,-1.97,player
55,Harel Levy,-1.95,player
56,Christophe Rochus,-1.94,player
57,Thierry Ascione,-1.94,player
58,Robin Soderling,-1.91,player
59,Mischa Zverev,-1.89,player
60,Jordi Burillo,-1.88,player
61,Philipp Petzschner,-1.88,player
62,Jarkko Nieminen,-1.76,player
63,Filip Dewulf,-1.74,player
64,Jan Kroslak,-1.74,player
65,Daniel Gimeno Traver,-1.64,player
66,Greg Rusedski,-1.59,player
67,Donald Young,-1.55,player
68,Bohdan Ulihrach,-1.55,player
69,Feliciano Lopez,-1.49,player
70,Filippo Volandri,-1.42,player
71,Gustavo Kuerten,-1.41,player
72,Stefan Koubek,-1.4,player
73,Fabio Fognini,-1.4,player
74,Richard Krajicek,-1.3,player
75,Jakob Hlasek,-1.26,player
76,Albert Montanes,-1.23,player
77,Juan Carlos Ferrero,1.21,player
78,Rainer Schuettler,1.32,player
79,Ronald Agenor,1.36,player
80,Sjeng Schalken,1.37,player
81,Marin Cilic,1.38,player
82,Todd Martin,1.41,player
83,Mikhail Youzhny,1.42,player
84,Jamie Morgan,1.46,player
85,Arnaud Boetsch,1.49,player
86,Bernd Karbacher,1.49,player
87,Nikolay Davydenko,1.52,player
88,Henrik Holm,1.52,player
89,Andrea Gaudenzi,1.57,player
90,Sargis Sargsian,1.57,player
91,Jean Rene Lisnard,1.58,player
92,Martin Damm,1.6,player
93,Guy Forget,1.61,player
94,Christian Bergstrom,1.62,player
95,Gaston Gaudio,1.63,player
96,Albert Costa,1.65,player
97,Alex Calatrava,1.67,player
98,Jerome Golmard,1.68,player
99,Todd Woodbridge,1.76,player
100,Patrick Rafter,1.78,player
101,Mark Woodforde,1.82,player
102,Janko Tipsarevic,1.83,player
103,Sebastien Grosjean,1.86,player
104,Stefano Pescosolido,1.87,player
105,Mariano Zabaleta,1.87,player
106,Lars Burgsmuller,1.87,player
107,Juan Monaco,1.89,player
108,Karol Kucera,1.95,player
109,Omar Camporese,1.96,player
110,Felix Mantilla,1.97,player
111,Pablo Andujar,2,player
112,Emilio Benfele Alvarez,2,player
113,Guillermo Garcia Lopez,2.04,player
114,Brett Steven,2.09,player
115,Nicklas Kulti,2.1,player
116,Juan Antonio Marin,2.11,player
117,Oscar Hernandez,2.12,player
118,Mario Ancic,2.13,player
119,Thierry Champion,2.13,player
120,Markus Zoecke,2.15,player
121,Anders Jarryd,2.15,player
122,Patrick Baur,2.16,player
123,Blaz Kavcic,2.17,player
124,Novak Djokovic,2.21,player
125,Diego Nargiso,2.23,player
126,Malivai Washington,2.24,player
127,Patrick McEnroe,2.25,player
128,Wayne Black,2.25,player
129,Magnus Norman,2.28,player
130,Leonardo Lavalle,2.31,player
131,Alex O'Brien,2.32,player
132,Claudio Pistolesi,2.34,player
133,Gianluca Pozzi,2.39,player
134,Tim Henman,2.43,player
135,Guillermo Coria,2.44,player
136,Fabrice Santoro,2.44,player
137,Lukasz Kubot,2.44,player
138,Alexander Mronz,2.45,player
139,Emilio Sanchez,2.45,player
140,Jaime Oncins,2.5,player
141,Andy Murray,2.53,player
142,Marcel Granollers,2.53,player
143,Horst Skoff,2.54,player
144,Sebastien De Chaunac,2.57,player
145,Daniel Orsanic,2.6,player
146,Ruben Ramirez Hidalgo,2.61,player
147,Danny Sapsford,2.62,player
148,Luiz Mattar,2.63,player
149,Paul Henri Mathieu,2.64,player
150,Eyal Ran,2.65,player
151,Flavio Saretta,2.69,player
152,Cedric Pioline,2.71,player
153,Marcos Aurelio Gorriz,2.74,player
154,David Wheaton,2.78,player
155,Joao Souza,2.8,player
156,Marcelo Filippini,2.84,player
157,Francisco Clavet,2.85,player
158,Tomas Nydahl,2.85,player
159,Todd Witsken,2.85,player
160,Kenneth Carlsen,2.92,player
161,Christian Ruud,2.96,player
162,Daniel Koellerer,2.98,player
163,George Bastl,3.01,player
164,Brad Gilbert,3.05,player
165,Gilad Bloom,3.05,player
166,Horacio De La Pena,3.07,player
167,Claudio Mezzadri,3.07,player
168,Mark Koevermans,3.09,player
169,Arnaud Clement,3.11,player
170,Markus Naewie,3.13,player
171,Bart Wuyts,3.16,player
172,Borna Coric,3.18,player
173,Lleyton Hewitt,3.22,player
174,Juan Martin Del Potro,3.23,player
175,Pablo Arraya,3.26,player
176,Jim Grabb,3.27,player
177,Mats Wilander,3.3,player
178,Jordi Arrese,3.3,player
179,Guillermo Canas,3.31,player
180,Justin Gimelstob,3.32,player
181,Lionel Roux,3.36,player
182,Renzo Furlan,3.37,player
183,Illya Marchenko,3.4,player
184,Nicolas Kiefer,3.51,player
185,Christo Van Rensburg,3.55,player
186,Boris Becker,3.55,player
187,Martin Jaite,3.63,player
188,Marc Lopez,3.67,player
189,Martin Vassallo Arguello,3.69,player
190,Nicolas Lapentti,3.72,player
191,Pat Cash,3.73,player
192,Markus Hantschk,3.77,player
193,Attila Savolt,3.81,player
194,Shuzo Matsuoka,3.9,player
195,Jean Philippe Fleurian,3.92,player
196,Marcos Ondruska,3.93,player
197,Gilbert Schaller,3.93,player
198,Thierry Guardiola,3.97,player
199,Carlos Berlocq,4.08,player
200,Jan Frode Andersen,4.12,player
201,Roberto Jabali,4.35,player
202,Ivan Lendl,4.35,player
203,Jim Courier,4.51,player
204,Alex Corretja,4.64,player
205,Thomas Hogstedt,4.77,player
206,Hernan Gumy,4.86,player
207,Jimmy Connors,4.9,player
208,Andrei Cherkasov,4.92,player
209,Michael Chang,4.94,player
210,Joao Cunha Silva,5.1,player
211,Julian Knowle,5.15,player
212,John McEnroe,5.22,player
213,Lucas Arnold Ker,5.35,player
214,T.J. Middleton,5.6,player
215,Martin Stringari,5.68,player
216,Rafael Nadal,5.92,player
217,Nicolas Massu,6.21,player
218,Emanuel Couto,6.35,player
